variables = "x/c" , "CP"
zone t = "alpha = 16.0373"
0.0000	-4.9881
0.0135	-6.0766
0.0271	-4.3646
0.0515	-3.2321
0.0763	-2.6939
0.1012	-2.1133
0.1503	-1.7246
0.1994	-1.3419
0.2501	-1.2065
0.2999	-1.0493
0.3499	-0.9084
0.3994	-0.8287
0.4496	-0.6829
0.4997	-0.6623
0.5492	-0.5269
0.5994	-0.4950
0.6495	-0.3683
0.6996	-0.3639
0.7489	-0.2818
0.8003	-0.1978
0.8500	-0.1353
0.8993	-0.0927
0.9489	-0.1084
0.9483	0.0007
0.9000	-0.0041
0.8503	0.0628
0.7993	0.0928
0.7497	0.0790
0.7003	0.0943
0.6502	0.1254
0.5997	0.1419
0.5506	0.1680
0.5000	0.1816
0.4503	0.2288
0.4000	0.2419
0.3507	0.2847
0.3002	0.3552
0.2501	0.4209
0.2004	0.4778
0.1504	0.6249
0.1000	0.7576
0.0755	0.8750
0.0510	0.9829
0.0251	0.9865
0.0122	0.6483
0.0000	-4.9881



